,index,name,kind,explains,segment_by,r2,rmse,rmsle
0,3,projection-for_metroscubiertos_by_tipodepropiedad,projection,metroscubiertos,tipodepropiedad,0.6980,51.9076,0.2914
1,4,linear-for_metroscubiertos_by_tipodepropiedad,linear,metroscubiertos,tipodepropiedad,0.6949,52.1679,0.2967
2,5,quadratic-for_metroscubiertos_by_tipodepropiedad,quadratic,metroscubiertos,tipodepropiedad,0.6949,52.1679,0.2967
3,6,linear-for_metroscubiertos_by_None,linear,metroscubiertos,None,0.6288,57.5751,0.3314
4,1,linear-for_metroscubiertos_by_antiguedad,linear,metroscubiertos,antiguedad,0.6284,57.6881,0.3353
5,2,quadratic-for_metroscubiertos_by_antiguedad,quadratic,metroscubiertos,antiguedad,0.6284,57.6881,0.3353
6,0,projection-for_metroscubiertos_by_antiguedad,projection,metroscubiertos,antiguedad,0.6174,58.5364,0.3476
7,8,projection-for_metroscubiertos_by_None,projection,metroscubiertos,None,0.6166,58.5094,0.3492
8,10,linear-for_metroscubiertos_by_chetocidad,linear,metroscubiertos,chetocidad,0.5981,56.3890,0.3369
9,11,quadratic-for_metroscubiertos_by_chetocidad,quadratic,metroscubiertos,chetocidad,0.5981,56.3890,0.3369
10,9,projection-for_metroscubiertos_by_chetocidad,projection,metroscubiertos,chetocidad,0.5832,57.4151,0.3383
11,7,quadratic-for_metroscubiertos_by_None,quadratic,metroscubiertos,None,0.4090,72.6409,0.4626
